State,Salary
New York,"$52,925"
New Hampshire,"$51,394"
Wyoming,"$47,173"
West Virginia,"$45,982"
Pennsylvania,"$45,759"
Massachusetts,"$45,419"
Montana,"$44,490"
Hawaii,"$44,402"
Arizona,"$44,031"
Washington,"$43,806"
New Jersey,"$43,776"
Indiana,"$43,750"
Connecticut,"$43,597"
Rhode Island,"$42,651"
Georgia,"$42,476"
Alaska,"$42,160"
Wisconsin,"$42,116"
Tennessee,"$42,045"
North Dakota,"$41,994"
Minnesota,"$41,972"
Nevada,"$41,828"
Ohio,"$41,738"
Maryland,"$41,505"
Alabama,"$41,483"
Utah,"$41,021"
Nebraska,"$40,813"
South Dakota,"$40,767"
Louisiana,"$40,704"
Virginia,"$40,278"
Oregon,"$40,193"
New Mexico,"$40,040"
Florida,"$40,033"
Kentucky,"$39,974"
Iowa,"$39,837"
California,"$39,731"
Vermont,"$39,729"
Kansas,"$39,674"
South Carolina,"$39,052"
Colorado,"$38,952"
Delaware,"$38,798"
Oklahoma,"$37,932"
Idaho,"$37,197"
Mississippi,"$37,176"
Maine,"$37,048"
Arkansas,"$36,615"
Michigan,"$36,544"
Illinois,"$36,416"
Texas,"$35,904"
Missouri,"$35,729"
North Carolina,"$33,278"
